Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Negative Talking Points	Positive Talking Points	Category	Archetypes
Jenna Maroney	Jenna Maroney	female	Rockerfeller Center	New York City	USA		single	Tracy Jordan	singing pop songs, singing on TV shows	New York taxicab	bra catapult		30 Rock, Television Production	television, comedy	fictional	Jane Krakowski	Tina Fey	the face bra	NBC	30 Rock	conceited, insecure, gullible, attention-seeking, dim-witted, self-centered, shallow	attractive, competitive, ambitious	Actress, Singer	
Kenneth Parcell	Kenneth Parcell	male	Rockerfeller Center	New York City	USA		single		leading tour groups, promoting conservative values		hillbilly hoe	pageboy uniform	30 Rock, Television Production	television, comedy	fictional	Jack McBrayer	Tina Fey		NBC	30 Rock	naïve, guileless, gullible, simplistic,	cheery, optimistic, deeply-religious, kind-hearted, hard-working, caring	Assistant	
Mr. Spock	Leonard. Spock	male			Vulcan		single		promoting science, studying science, promoting logical thinking	U.S.S. Enterprise NCC-1701	Vulcan nerve pinch	Starfleet uniform, blue tunic, pointy ears	Star Trek, the U.S.S. Enterprise, Starfleet, Vulcan	science fiction	fictional	Leonard Nimoy	Gene Roddenberry		Starfleet	Star Trek	emotionally-detached, hyper-logical, overly-rational, aloof	logical, rational, scientific	Astronaut, Scientist	
Jesse Pinkman	Jesse Pinkman	male	Albuquerque	New Mexico	USA	libertarian	single	Gale Boetticher, Gustavo Fring, Hank Schrader	cooking chrystal meth, running a criminal empire	1986 Toyota Tercel	Taurus PT99 pistol	hipbop outfit	Breaking Bad	crime, television	fictional	Aaron Paul	Vince Gilligan		Vamonos Pest	Breaking Bad	scholastically-challenged, reckless, drug-addled, naïve, self-hating	ethical, fair-minded, caring, big-hearted, loyal	Criminal	Dra
Gustavo Fring	Gustavo Fring	male	Albuquerque	New Mexico	USA	right, libertarian	single	Walter White, Jesse Pinkman	selling chrystal meth, running a criminal empire, deep-frying chicken, selling fried chicken	1998 Volvo V70	deep-fat fryer, spicy chicken zingers	sharp suit	Breaking Bad	crime, television	fictional	Giancarlo Esposito	Vince Gilligan	Los Pollos Hermanos	Los Pollos Hermanos	Breaking Bad	controlling, cold-blooded, Machiavellian, ruthless	no-nonsense, orderly, calm-headed, strategic, emotionally-controlled, polite, well-mannered	Criminal, Businessman, Restauranteur	Bad, Mpb, Chs
Don Draper	Don Draper	male	Manhattan	New York City	USA	moderate	divorced	Ted Chaough	developing advertising campaigns, creating adverts	1966 Jaguar E-Type, Cadillac DeVille	Molotov Martini	sharp suit	Mad Men, the Advertising Industry	business, television	fictional	Jon Hamm	Matthew Weiner	Sterling Cooper Draper	Sterling Cooper Draper	Mad Men	unfaithful, secretive, arrogant, aloof	creative, chivalrous, passionate, inventive, suave, charming, mysterious, handsome, enigmatic, ethical,	Adman, Executive, Pretender	
Leroy Jethro Gibbs	Leroy Gibbs, Jethro Gibbs	male	Navy Boat Yards	Virginia	USA		divorced		solving mysteries, solving crimes, finding clues, interpreting evidence	pickup truck, yellow Camaro	Marine-issue pistol	Marine crew cut	NCIS	crime, television	fictional	Mark Harmon	Donald P. Bellisario		NCIS	NCIS	sarcastic, brusque, abrupt, impatient	no-nonsense, calm-headed, probing, insightful, assertive, dependable, competent, resourceful, dutiful	Detective, Policeman	
Tony DiNozzo	Tony DiNozzo	male	Navy Boat Yards	Virginia	USA		single		solving mysteries, solving crimes, finding clues, interpreting evidence	NCIS-issue SUV	apt movie references		NCIS	crime, television	fictional	Michael Weatherly	Donald P. Bellisario		NCIS	NCIS	juvenile, immature, irritating, movie-obsessed, nosy	flirtatious, outgoing, streetwise, insightful	Detective, Policeman	
Timothy McGee	Timothy McGee	male	Navy Boat Yards	Virginia	USA		single		solving mysteries, solving crimes, finding clues, interpreting evidence, hacking into computers	NCIS-issue SUV	arcane Unix wizardry		NCIS	crime, television	fictional	Sean Murray	Donald P. Bellisario		NCIS	NCIS	geeky, nerdy, timid, inexperienced	hard-working, technically-brilliant, resourceful	Detective, Policeman, Geek, Nerd	
Tyrion Lannister	Tyrion Lannister	male	Casterly Rock	Westerlands	Westeros		single		developing political strategies	horse-drawn carriage	spiky mace, crossbow, very short sword		Game of Thrones, Westeros	fantasy, television, literature	fictional	Peter Dinklage	George R. R. Martin		The House Lannister	Games of Thrones	short, vertically-challenged, manipulative, heavy-drinking, whore-mongering, deformed	strategic, tactical, insightful, compassionate, clever, farseeing, politically-savvy, astute	Dwarf	
Cersei Lannister	Cersei Lannister	female	Casterly Rock	Westerlands	Westeros		married to Robert Baratheon, dating Jaime Lannister			horse-drawn carriage	feminine wiles		Game of Thrones, Westeros	fantasy, television, literature	fictional	Lena Headey	George R. R. Martin		The House Lannister	Games of Thrones	cruel, manipulative, ruthless, aggressive, power-hungry, wilful, erratic, ineffectual	beautiful, seductive, assertive, self-assured	Lady	Mpb, Chs, Av
Jaime Lannister	Jaime Lannister	male	Casterly Rock	Westerlands	Westeros		dating Jaime Lannister			horse	longsword		Game of Thrones, Westeros	fantasy, television, literature	fictional	Nikolaj Coster-Waldau	George R. R. Martin		The House Lannister	Games of Thrones	arrogant, amoral, dishonorable	handsome, brave, skillful	Warrior	Kt, Dra
Eddard Stark	Eddard Stark	male	Winterfell	Northlands	Westeros		married to Catelyn Tully			horse	longsword		Game of Thrones, Westeros	fantasy, television, literature	fictional	Sean Bean	George R. R. Martin			Games of Thrones	cold, aloof, emotionally-distant, sombre	respected, dutiful, moral, inspiring, honorable, fair-minded	Warrior	
Chewbacca	Chewbacca	male	Mos Eisley		Tatooine		single		piloting the Millenium Falcon, doing the Kessel run, smuggling contraband, fighting for the rebel alliance, piloting a spaceship	Millenium Falcon	crossbow	bandoleer	Star Wars	science fiction	fictional	Peter Mayhew	George Lucas		The Rebel Alliance	Star Wars, The Empire Strikes Back, Return of the Jedi	scary, hairy, shaggy, inarticulate	gentle, loyal, companionable, fierce, tall	Copilot, Sidekick	
C-3PO	Cee Threepio	male			Tatooine		single		complaining about everything, eluding imperial storm-troopers	escape pod	whiny persistence	gold metal skin	Star Wars	science fiction	fictional	Anthony Daniels	George Lucas		The Rebel Alliance	Star Wars, The Empire Strikes Back, Return of the Jedi	fussy, worry-prone, whiny, stiff, rigid	polite, well-mannered, multilingual, respectful, dutiful	Robot, Sidekick, Linguist	
R2D2	R2D2	male			Tatooine		single		eluding imperial storm-troopers, carrying secret plans, fighting for the rebel alliance	escape pod	electric shocker, burning oil sprayer	chrome dome	Star Wars	science fiction	fictional	Kenny Baker	George Lucas		The Rebel Alliance	Star Wars, The Empire Strikes Back, Return of the Jedi	diminutive, stubborn, wilful	spunky, adventurous, resourceful, brave, faithful, cute	Robot, Sidekick	
Marty McFly	Marty McFly	male	Lou's Dinner	Hill Valley	USA		single	Biff Tannen	playing rock music, playing rock guitar, traveling in time	skateboard, hoverboard, tricked-out DeLorean DMC-12	Colt Peacemaker	braces, Nike Air Mags, red bodywarmer Jacket	Back To The Future	science fiction, comedy	fictional	Michael J. Fox	Robert Zemeckis	The Pinheads	The Pinheads	Back to the Future	accident-prone, proud, reckless, easily-goaded	resourceful, brave, loyal, adventurous	Teenager, Hero	Kh
Doc Emmett Brown	Emmett Brown	male	Hill Valley	California	USA		single		pioneering new technologies, developing new technologies, inventing time machines	tricked-out DeLorean DMC-12	weapons-grade plutonium	radiation suit, white lab coat	Back To The Future	science fiction, comedy	fictional	Christopher Lloyd	Robert Zemeckis	DeLorean DMC-12 Time Machine		Back to the Future	wild-eyed, wild-haired, nutty, absent-minded, overly-verbose, naïve	brilliant, clever, inventive, pioneering, smart, experimental, versatile, heroic, sexy	Scientist, Engineer	
Biff Tannen	Biff Tannen	male	Hill Valley	California	USA	right	single	Marty McFly	giving noogies, mangling idioms	1946 Ford Super De Luxe Convertible	Smith & Wesson Model 60, noogies	varsity jacket, crew cut	Back To The Future	science fiction, comedy	fictional	Thomas F. Wilson	Robert Zemeckis			Back to the Future	lazy, cruel, bullying, idiom-mangling, intimidating, dishonest		Teenager, Bully	
George McFly	George McFly	male	Hill Valley	California	USA		married to Lorraine McFly	Biff Tannen	standing up to bullies, spying on girls	1946 Ford Coupé		sweat-stained shirt	Back To The Future	science fiction, comedy	fictional	Crispin Glover	Robert Zemeckis			Back to the Future	unassertive, weak, timid, easily-bullied, nerdy	sensitive, polite, well-mannered,	Teenager, Father	
Dirty Harry Callahan	Harry Callahan	male	San Francisco	California	USA	right	single	the Scorpio killer	tracking down criminals, preventing crime, solving crimes, punishing criminals	1972 Ford Galaxie 500	.357 Magnum	sport coat and slacks	Detective fiction	movies, crime	fictional	Clint Eastwood	Harry Julian Fink		San Francisco Police	Dirty Harry, Sudden Impact	vengeful, violent, anti-heroic, insubordinate, unscrupulous, brutal, rule-breaking, merciless	effective, non-nonsense, justice-serving, relentless, unconventional, forceful, sharp-shooting,	Detective, Policeman	
Sonny Crockett	Sonny Crockett	male	Miami	Florida	USA		single		tracking down criminals, preventing crime, solving crimes, punishing criminals, arresting drug dealers	Ferrari Daytona Spider	SIG-Sauer P220	black Ray Ban Wayfarers, white Versace blazer, high-waisted pants, low-cut T-shirt, slip-on sockless loafers, designer stubble	Miami Vice	television, crime	fictional	Don Johnson, Colin Farrell	Anthony Yerkovich		Miami Metro	Miami: Vice	uptight, abrasive, stubborn, haunted	fashionable, cool, fashionably-sockless, stylish,	Detective, Policeman	
Inspector Endeavour Morse	Endeavour Morse	male	Oxford	Oxfordshire	UK		single		solving mysteries, solving crimes, finding clues, interpreting evidence	1960 Regency red Jaguar Mark 2	cryptic crossword clues	sport coat and slacks	Oxford	television, crime	fictional	John Thaw	Colin Dexter		Oxford Police	Inspector Morse	patronising, misogynistic, snobby, crotchety, grammatically-uptight,	poetic, romantic, clever, probing, insightful, intelligent, well-educated, erudite	Detective	
Rico Tubbs	Rico Tubbs	male	Miami	Florida	USA		single		tracking down criminals, preventing crime, solving crimes, punishing criminals, arresting drug dealers	1964 Cadillac Coupe de Ville convertible	Uzi	shiny teal suit, shoes without socks	Miami Vice	television, crime	fictional	Philip Michael Thomas, Jamie Foxx	Anthony Yerkovich		Miami Metro	Miami: Vice	dissolute, gritty, self-conscious	humane, glamorous, easy-going, smooth, swinging	Detective	
Jean-Luc Picard	Jean-Luc Picard	male		Paris	France		single		making strategic decisions, commanding a spaceship	U.S.S. Enterprise NCC-1701-E	phaser, photon torpedo	lycra Starfleet uniform	Star Trek, the U.S.S. Enterprise, Starfleet	science fiction	fictional	Patrick Stewart	Gene Roddenberry		Starfleet	Star Trek: The Next Generation	pointy-headed, bald, over-serious, uptight	logical, rational, morally-upright, intelligent, diplomatic, wise, intellectual	Captain, Adventurer, Astronaut	
Commander Data	Data	male			Omicron Theta		single		piloting a spaceship, promoting logical thinking, promoting science, applying science, promoting logical thinking	U.S.S. Enterprise NCC-1701-E	phaser	lycra Starfleet uniform	Star Trek, the U.S.S. Enterprise, Starfleet	science fiction	fictional	Brent Spiner	Gene Roddenberry		Starfleet	Star Trek: The Next Generation	mechanical, stiff, rigid, humorless, rubber-skinned	intelligent, resourceful, capable, rational, quick-witted,	Android, Robot, Hero, Scientist	H
Edward Cullen	Edward Cullen	male	Forks	Washington State	USA		married to Bella Swan	Jacob Black	sucking blood, avoiding growing old	Silver Volvo C30	gleaming fangs	tight shirt and slacks	Twilight, the Vampire world	fantasy, horror, literature	fictional	Robert Pattinson	Stephenie Meyer			Twilight	stubborn, obstinate, over-protective, morally-uptight, corpse-skinned, old-fashioned	charming, polite, determined, handsome, strong	Vampire, Lover	
Alan Partridge	Alan Partridge	male		Norwich	USA	right	single		hosting radio shows	Rover 800 KV6 Sterling	extension cord garrote	sport coat and slacks	Regional Radio	radio, television, comedy	fictional	Steve Coogan	Armando Iannucci			Knowing Me Knowing You, Alpha Papa	insecure, superficial, narcissistic, socially-incompetent, socially-awkward, insensitive, thoughtless, self-absorbed, sexually-repressed, misogynistic, patronising, out-of-touch, ultraconservative	enthusiastic, undaunted, chatty	DJ, English Buffoon, Radio Host	
Dr. Greg House	Greg House	male	Plainsboro, Princeton	New Jersey	USA	libertarian	dating Lisa Cuddy	Lisa Cuddy, Eric Foreman	solving mysteries, treating diseases, diagnosing diseases, finding clues, interpreting evidence, twirling a cane	Honda Fireblade 998cc motorcycle	walking stick	open-necked Oxford shirt, battered tennis shoes, leather motorcycle jacket	Diagnostic medicine	medicine	fictional	Hugh Laurie	David Shore			House	arrogant, haughty, high-handed, manipulative, condescending, dispassionate, cold, anti-social, misanthropic, cynical, curmudgeonly, drug-dependent, lame, sarcastic, moody, antagonistic, cranky	astute, brilliant, rational, observant, clever, shrewd, probing, detail-oriented, insightful, cunning, witty	Doctor	
Edmund Blackadder	Edmund Blackadder	male		London	UK	right	single	Lord Melchett	manipulating political pawns, climbing social ladders, wielding political power	horse-drawn carriage	rapier	neckruff, black doublet	the English class system	comedy, television, history	fictional	Rowan Atkinson	Richard Curtis, Ben Elton			Blackadder II, Blackadder III, Blackadder Goes Forth	sarcastic, sharp-tongued, cynical, haughty, condescending,	intelligent, witty, charming, cunning, quick-witted, sharp-witted	Aristocrat	
Baldrick	Baldrick	male		London	UK		single		developing cunning plans, providing comic relief	haycart	phallic turnip	ragged tunic	the English class system	comedy, television, history	fictional	Tony Robinson	Richard Curtis, Ben Elton			Blackadder II, Blackadder III, Blackadder Goes Forth	unhygienic, filthy, ragged, dim-witted, not-quite-cunning, impractical, unintelligent	good-hearted, loyal, steadfast,	Sidekick	
